Country,Median
Office and Administrative Support Occupations,44480
"Sales and Related Workers, All Other",44610
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,44640
Emergency Medical Technicians and Paramedics,44780
Medical Appliance Technicians,44960
Automotive Glass Installers and Repairers,45320
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",45350
Helpers--Extraction Workers,45520
Billing and Posting Clerks,45590
"Bus Drivers, School",45660
Refuse and Recyclable Material Collectors,45760
Semiconductor Processing Technicians,45850
"Court, Municipal, and License Clerks",46110
"Information and Record Clerks, All Other",46210
"Roustabouts, Oil and Gas",46340
Word Processors and Typists,46450
"Installation, Maintenance, and Repair Workers, All Other",46500
"Material Recording, Scheduling, Dispatching, and Distributing Workers",46590
First-Line Supervisors of Personal Service Workers,46690
Parking Enforcement Workers,46840
Metal Workers and Plastic Workers,46860
Septic Tank Servicers and Sewer Pipe Cleaners,46910
Home Appliance Repairers,47170
Hazardous Materials Removal Workers,47280
Highway Maintenance Workers,47360
Travel Agents,47410
Jewelers and Precious Stone and Metal Workers,47450
Carpet Installers,47520
"Insulation Workers, Floor, Ceiling, and Wall",47540
Dental Laboratory Technicians,47690
Painters and Paperhangers,47710
Floor Sanders and Finishers,47760
Recreational Vehicle Service Technicians,47950
Community Health Workers,48200
Cargo and Freight Agents,48330
Sailors and Marine Oilers,48400
Paperhangers,48460
Credit Counselors,48570
Museum Technicians and Conservators,48670
"Pourers and Casters, Metal",48690
Proofreaders and Copy Markers,48790
Timing Device Assemblers and Adjusters,48840
Logging Workers,48910
"Welders, Cutters, Solderers, and Brazers",48940
"Electric Motor, Power Tool, and Related Repairers",49230
Miscellaneous Communications Equipment Operators,49310
Private Detectives and Investigators,49540
"Patternmakers, Metal and Plastic",49670
Miscellaneous Educational Instruction and Library Workers,49800
"Financial Clerks, All Other",49940
"Other Installation, Maintenance, and Repair Occupations",50200
"Eligibility Interviewers, Government Programs",50270
Dredge Operators,50440
Legal Secretaries and Administrative Assistants,50680
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",50790
Glaziers,51100
Health Technologists and Technicians,51250
Audio and Video Technicians,51640
Extraction Workers,51780
Dancers and Choreographers,51900
Payroll and Timekeeping Clerks,52240
"Geological Technicians, Except Hydrologic Technicians",52440
Other Construction and Related Workers,52900
Paramedics,53180
"Entertainers and Performers, Sports and Related Workers",53360
"Life, Physical, and Social Science Technicians",53700
"Production, Planning, and Expediting Clerks",53900
"Child, Family, and School Social Workers",53940
"Broadcast, Sound, and Lighting Technicians",54160
Real Estate Sales Agents,54300
"Pump Operators, Except Wellhead Pumpers",54690
Water and Wastewater Treatment Plant and System Operators,54890
"Librarians, Curators, and Archivists",55460
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",55740
Hoist and Winch Operators,55950
Riggers,56220
Social Science Research Assistants,56400
Postal Service Workers,56510
Chemical Technicians,56750
"Archivists, Curators, and Museum Technicians",57120
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",57300
"Maintenance Workers, Machinery",57350
"News Analysts, Reporters, and Journalists",57500
Broadcast Technicians,57690
Athletic Trainers,57930
